Party name,Party abbreviation,Party MNIS ID,Party URL,Constituencies contested,Constituencies contested by party URL,Votes,Vote share,Constituencies won,Constituencies won by party URL
"British Unionist Party B.U.P.","BUP",1105,https://electionresults.parliament.uk/political-parties/259,2,https://electionresults.parliament.uk/general-elections/6/political-parties/259/elections,614,0.00213125326716960541,0,https://electionresults.parliament.uk/general-elections/6/political-parties/259/elections/won
"Transform Party","Transform",1081,https://electionresults.parliament.uk/political-parties/270,2,https://electionresults.parliament.uk/general-elections/6/political-parties/270/elections,595,0.00206530243316924303,0,https://electionresults.parliament.uk/general-elections/6/political-parties/270/elections/won
"Putting Crewe First, Independent Residents Group","PCFIRG",1077,https://electionresults.parliament.uk/political-parties/277,1,https://electionresults.parliament.uk/general-elections/6/political-parties/277/elections,588,0.00204100475748489899,0,https://electionresults.parliament.uk/general-elections/6/political-parties/277/elections/won
"Scottish Libertarian Party","Scot Libt",1091,https://electionresults.parliament.uk/political-parties/276,4,https://electionresults.parliament.uk/general-elections/6/political-parties/276/elections,536,0.00186050773811548616,0,https://electionresults.parliament.uk/general-elections/6/political-parties/276/elections/won
"The Peace Party - Non-violence, Justice, Environment","PPNV",154,https://electionresults.parliament.uk/political-parties/57,2,https://electionresults.parliament.uk/general-elections/6/political-parties/57/elections,531,0.00184315225548381185,0,https://electionresults.parliament.uk/general-elections/6/political-parties/57/elections/won
"Taking The Initiative Party","TI",1085,https://electionresults.parliament.uk/political-parties/278,1,https://electionresults.parliament.uk/general-elections/6/political-parties/278/elections,503,0.0017459615527464357,0,https://electionresults.parliament.uk/general-elections/6/political-parties/278/elections/won
"Blue Revolution","BR",267,https://electionresults.parliament.uk/political-parties/134,1,https://electionresults.parliament.uk/general-elections/6/political-parties/134/elections,397,0.00137802532095494031,0,https://electionresults.parliament.uk/general-elections/6/political-parties/134/elections/won
"Alliance for Green Socialism","AGS",97,https://electionresults.parliament.uk/political-parties/84,2,https://electionresults.parliament.uk/general-elections/6/political-parties/84/elections,378,0.00131207448695457793,0,https://electionresults.parliament.uk/general-elections/6/political-parties/84/elections/won
"Chesterfield And North Derbyshire Independents (CANDI)","CANDI",1082,https://electionresults.parliament.uk/political-parties/274,1,https://electionresults.parliament.uk/general-elections/6/political-parties/274/elections,363,0.00126000803905955499,0,https://electionresults.parliament.uk/general-elections/6/political-parties/274/elections/won
"The Mitre TW9","MTW9",1084,https://electionresults.parliament.uk/political-parties/293,1,https://electionresults.parliament.uk/general-elections/6/political-parties/293/elections,349,0.00121141268769086692,0,https://electionresults.parliament.uk/general-elections/6/political-parties/293/elections/won
